Gondi Word	Phonetic	Part of Speech	Telugu Meaning	English Meaning	Hindi Meaning	Ex 1 Gondi	Ex 1 Telugu	Ex 1 English	Ex 1 Hindi	Ex 2 Gondi	Ex 2 Telugu	Ex 2 English	Ex 2 Hindi	Ex 3 Gondi	Ex 3 Telugu	Ex 3 English	Ex 3 Hindi
తన్వతన్	/tanvatan/	adv	తనకు తానుగా														
తంగ్ కియ్మ	/taṅg kiyma/		విసిగించకు			కామ్ కియ్వన్ కామ్ కియ్యొర్ ఇంజెర్ తంగ్ కియ్మ.	పని చేసే వాన్ని పని చెయ్యడు అని విసిగించకు.										
తంగ్‌మరి	/taṅgmari/	n	మనుమడు	grandson		పేడన్ నొర్ కాండిన్ తంగ్ మరి ఇంతెర్.	కొడుకు కుమారుడు మనుమడు అవుతాడు.										
తంగ్ ‌మియడ్	/taṅg miyaḍ/	n	మనమరాలు	granddaughter		పేడిన పేడి తంగ్ మియడ్ ఇంతెర్.	బిడ్డ కూతురిని మనమరాలు అంటారు.										
తన్‌లాడ	/tanlāḍa/	v	బతిమిలాడు	plead		కాండి బొమ్మ యేతన్ సాటి తన్‌లాడ్సెర్ మంతొర్.	పిల్లవాడు బొమ్మ తీసుకోవాలని బతిమిలాడుతున్నాడు.										
తనయ్ యేత్వల్	/tanay yētval/		వ్యక్తిగతంగా తీసుకోవడం	taking personally													
తపస్ కీతొర్	/tapas kītor/	n	ధ్యానం	meeting		నాకున్ చొకొట్ కామ్క్ ఆయన ఇంజెర్ తపస్ కీతొర్.	నాకు మంచి పనులు జరగాలి అని ధ్యానం చేసాడు.										
తప్	/tap/	n	తప్పు	wrong	छुट जा	కొత్తంగ్ కహ్నెకె లెక్క తప్ కీతొర్.	డబ్బులు లెక్కించేటప్పుడు లెక్క తప్పు చేసాడు.										
తప్పతప్ప	/tappatappa/		నీటి తుంపర			పిర్ తప్పతప్ప వాసెర్ మంత.	వర్షం నీటి తుంపరగా వస్తుంది.										
తప్పుసిమ్	/tappusim/	v	తప్పించుకో	avoid	बच जा; छूट; मुक्त हो	మొల్లొడున్ బాండెతె పానెకె మొల్లొల్ తప్పుసీంత.	కుందేలును తుపాకీతో కాల్చినప్పుడు కుందేలు తప్పించుకుంటుంది.										
తప్పెచారి	/tappecāri/	n	ఋషి	monk		మర్మింగ్ ఆయొర్ వోన్ తప్పెచారి ఇంతెర్.	పెళ్లి చేసుకోని వాన్ని బ్రహ్మచారి అంటారు.										
తప్పొ	/tappo/	v	తప్పని	unfailing		నేండ్ పిర్ వాయ్వల్ తప్పొ.	ఈ రోజు వర్షం తప్పదు.										
తమ్మ	/tamma/	n	రాగి	copper	तांबा	తొల్లెతుర్ వెడిల్క్ తమ్మతంగ్ ముద్దంగ్ కెర్న్ దిర్.	పూర్వపు వ్యక్తులు రాగి ఉంగరాలు తొడిగే వారు.										
తమ్మ తమ్మొ	/tamma tammo/	pron	తమకు తాము	reflexive pronoun - themselves	स्वयं	తమ్మ తమ్మొమీరెమాసి బేకె సొంజెర్ మంతెర్.	తమకు తాము ఎక్కడికీ వెళుతున్నారు.										
తమ్ముక్ ఆకి	/tammuk āki/	n	పొగాకు	tobacco leaf	तम्बाकू	వోర్ తమ్ముక్ వొమ్సెర్ మంతొర్.	ఆయన పొగాకు అమ్ముతున్నాడు.	He is selling tobacco.									
తమ్మున్ ఇవ్విర్	/tammun ivvir/	n	అన్నదమ్ములు	brothers	अग्रज अनुज	తాదల్ తమ్మున్ ఇంతెర్.	అన్నదమ్ములు.										
తయర్ ఆయ్వల్	/tayar āyval/		తయారు అగుట			వ్యాకరనం తయర్ ఆసెర్ మంత.	వ్యాకరణం తయారై ఉన్నది.										
తర	/tara/	v	తెచ్చుకో	get	ले आ; ला दे	నావంగ్ కొత్తంగ్ నిమ్మెయ్ సొంజి తర.	నా డబ్బులు నీవు వెళ్లి తెచ్చుకో.										
తర తుర	/tara tura/	adv	తొందర తొందర	quickly		హాటుం సొన్లె తరతుర ఆసెర్ మంతొర్.	అంగడికి వెళ్లడానికి తొందరపడుతున్నాడు.										
తర వచ్చొ	/tara vacco/	v	తెచ్చుకోవచ్చు	can get it		నాడిగిర్ సాకుర్ చంచి తర వచ్చొ.	రేపు కూడ చక్కెర సంచి తెచ్చుకోవచ్చు.										
తరగతి	/taragati/	n	తరగతి	class	वर्ग; दर्जा; श्रेणी	సమ్దిర్ ఉంది తరగతి తగ మంతెర్.	అందరు ఒక తరగతిలో ఉన్నారు.										
తరతర	/taratara/		వణకడం			రాము తరతర ఆసెర్ మంతొర్.	రాము వణుకుతున్నాడు.										
తర్ తురియల్	/tar turiyal/		తొందరపడుట			బేకెనె సొన్నెకె తరతుర ఆసెర్ దాంతొర్.	ఎక్కడి కన్న వెళ్ల్లే టప్పుడు తొందర పడి వెళతాడు.										
తర్పంగ్	/tarpaṅg/	n	నగలు	hole for an earring													
తర్సొ	/tarso/	adv	తో	with	के साथ	నీ తర్సొ నన్ గిర్ హాటుం వాంతొన్.	నీ తో నేను కూడా మార్కెట్ కు వస్తాను.										
తర్సొ పుట్టె	/tarso puṭṭe/		తోడ పుట్టినవాడు	brother		నా తర్సొ పుట్తొర్ తమ్ముర్.	నా తోడ పుట్టిన వాడు తమ్ముడు.										
తర్సొ మీరెమాసి	/tarso mīremāsi/		తో కలిసి	along with		నీ తర్సొ మీరెమాసి నన్నగిర్ వాంతొన్.	నీతో కలిసి నేను వస్తాను.										
తర్-	/tar-/	v	తెచ్చుట	to bring	लाना	వరొన్ పూసి కీసి తర్వ్ ల్ చొకొట్.	ఒకరి అనుమతి తీసుకొని తెచ్చుట మంచిది.										
తరిక	/tarika/	n	నియమం	formula	नियम; कायदा	ఉంది తరికతె తాకన.	నియమం ప్రకారం నడవాలి.										
తరు సియ్వల్	/taru siyval/		తెప్పించుట			తొల్లెతంగ్ వేసుడింగ్ ఇన్కె గిర్ తరు సీసెర్ మంతెర్.	పూర్వపు కథలను ఇప్పుడు కూడ తెప్పించుకుంటున్నారు.										
తరుస	/tarusa/	v	తెప్పించు	derive	मँगवा	నాకున్ బిస్కొట్ పూడ తరుస.	నాకు బిస్కెట్ పొట్లము తెప్పించు.										
తల ఊడ్సి	/tala ūḍsi/	adj	దువ్విన	combed		తల ఊడ్సి వాతొర్.	తల దువ్వుకొని వచ్చాడు.										
తల టోక్రె	/tala ṭōkre/		కపాలం														
తల తిరివల్	/tala tirival/		తల తిరగడం	mad		తల తిరివల్ బేమరి మావ నాటె వరొన్ వాసి మత్త.	తల తిరగడం రోగం మా ఊర్లో ఒకరికి వచ్చి ఉండే.										
తల నోయ్వల్	/tala nōyval/	n	తల నొప్పి	headache	सिर दर्द	పిర్ వానెకె తల్ల పుహ్తెకె తల నోంత.	వానలో తడిస్తే తల నోస్తుంది.										
తల మొసొర్	/tala mosor/		ముక్కునుంచి రక్తం కారుట			వెయ్లొ పోరికున్ తోడొ కర్స్‌తెకె తల మొసొర్ వాంత.	అడ పిల్లలతో ఆడుకుంటే ముక్కునుంచి రక్తం కారుతుంది.										
తల వరుస	/tala varusa/		తల వంపు	bow the head		లజ్జె మాయ్వల్ పేడి తల వరుసి తాకంత.	సిగ్గు పడె అమ్మాయి తల వంచి నడుస్తుంది.										
తలకెల్క్	/talakelk/	n	తల వెంట్రుకలు	head hair		తలకెల్క్ కుసంతంగ్.	తలవెంట్రుకలు రాలుతాయి.										
తలతోడి	/talatōḍi/		తలకు రాసే మట్టి														
తలదగ	/taladaga/		తల వద్ద	near head		నావ తలద్ పొర్రొ బుడ్డితె యేర్ మంత.	తల పైన కుండలో నీరు ఉంది.										
తలదల్ తుంగ్వల్	/taladal tuṅgval/		తలంటు స్నానం చేయడం														
తలద్ పొర్రొ	/talad porro/		తలపైన			తలద్ పొర్రొ కట్టె వొజ్జె మంత.	తల పైన కట్టె మోపు ఉంది.										
తలదె కొహ్క	/talade kohka/		తలతో పొడువు			కోంద తలదె కొహ్కంత.	ఎద్దు కొమ్ములతో పొడుస్తుంది.										
తలనొర్వల్	/talanorval/		తలంటుకుని స్నానం చేయడం														
తలబిల్ల	/talabilla/	n	దిండు	pillow	तकिया; उपधान	తల బిల్ల తల బూడ్ ఇరంతెర్.	తల దిండు తల కింద పెడతారు.										
తల్క	/talka/	v	వసులు చెయ్యి	ask	पूछ; माँग												
తల్క్-	/talk-/	n	అడగడం	asking		బిచ్చెగాండల్ బిచ్చెం తల్క్‌సెర్ వాంతొర్.	బిచ్చగాడు బిచ్చం అడుగుతూ వస్తున్నాడు.										
తల్లుర్ కొర్	/tallur kor/	n	కోడిపెట్ట	young hen, pullet	घरेलू मुर्गी	మేస్క్ దొస్వల్ కొర్దున్ తల్లుర్ కోర్ ఇంతెర్.	గుడ్లు పెట్టె కోడిని కోడి పెట్ట అని అంటారు.										
తల్లుర్ పుడి	/tallur puḍi/		తల్లి పురుగు			పుడ్క్ నగ గిర్ తల్లుర్ పుడి మందంత.	పురుగులలో కూడ తల్లి పురుగు ఉంటుంది.										
తల్వర్	/talvar/	n	కత్తి	sword	असि	నావ తల్వర్ బయ్ లామ్ మంత.	నా కత్తి చాలా పొడవుగా ఉంది.										
తస్క్	/task/			to scrape													
తహ్-	/tah-/	n	ఎత్తడం	to raise the position something	ऊपर उठाना	అర్త బడ్డెతున్ తహ్చి ఇర్రన.	పడిపోయిన కర్రను ఎత్తి పెట్టాలి.										
తాక	/tāka/	v	నడుచుకో	demean		నన్న సడక్ పియ్సి తాకంతొన్.	నేను రోడ్డు మీద నడుస్తాను.										
తాకట్	/tākaṭ/		నడుచుకోండి			రాంబాబు నన్ వెహ్త రీతెతె తాకట్ ఇంతొర్.	రాంబాబును నేను చెప్పిన రీతిలో నడుచుకోండి అని అన్నాడు.										
తాకత్ మత్త	/tākat matta/	adj	బలముగల	powerful		హెర్మితున్ వెల్లె తాకత్ మందంత.	గేదె చాలా బలముకలిగి ఉంటుంది.										
తాకద్	/tākad/	n	బలం	force		బాండె పియ్లెన్ తాకద్ మందన.	తుపాకి పట్టుకోవడానికి బలం ఉండాలి.										
తాక్వల్ జమన	/tākval jamana/		వర్తమాన కాలం			తాక్వల్ జమనతె నన్న రాజల్ ఆయ పరొన్.	వర్తమాన కాలంలో నేను రాజును కాలేను.										
తాక్-	/tāk-/	v	నడుచుట	to walk, be in progress	चलाना	మాయ్నలిర్ హాటుం తాక్సెర్ సొంజెర్ మంతెర్.	మగవారు అంగడికి నడుచుకుంటూ వెళుతున్నారు.	The man is walking to the market.									
తాకుస్	/tākus/	n	నడుపుట	to drive, to lead	चलाना	చుడుర్ కాండిన్ కయ్ పియ్సి తాకుసంతెర్.	చిన్న పిల్ల వాన్ని చేతులు పట్టి నడిపిస్తారు.	They hold the little boy’s hand and lead him along.									
తాకుస్వల్	/tākusval/	n	నడిపించుట	beater (when hunting)	भगाना	మామల్ లారి తాకు సీంతొర్.	మామయ్య లారీ నడిపిస్తున్నాడు.										
తాకు సియ్వల్	/tāku siyval/	n	నిర్వహణ	managing		గోండి బాస కరియన్ సాటి గోండి సాడంగ్ తాకు సీసెర్ మంతెర్.	గోండి భాషను నేర్చు కోవడానికి గోండి బడులు నడిపిస్తున్నారు.										
తాడ	/tāḍa/	v	తవ్వు	dig	खोद; खन; पोला कर	బొమ్మిత్ రొప్పొడ సోనెతున్ తాడ.	భూమిలో ఉన్న బంగారాన్ని తవ్వు.										
తాడ్క్-	/tāḍk-/	v	గోకుట	to scratch	नोचना												
తాడ్-	/tāḍ-/	n	బొక్క	to burrow	बिल												
తాడింగ్	/tāḍi/	n	పుస్తెలాంటివి	earring with bells													
తాడింగ్ (మర్ర)	/tāḍi (marra)/	n	తాటి చెట్టు)	a very tall palm tree from which country liquor is extracted													
తాడి కల్	/tāḍi kal/	n	తాటికల్లు	palm liquor		కలడి కల్ రెహన్ సాటి తాడి మర్ర తెర్గ్‌తొర్.	గౌడు సారాయి కోసం తాటి చెట్టు ఎక్కాడు.										
తాడిఆకి	/tāḍiāki/		తాటి ఆకు	palm leaf		తాడింగ్ ఆకిత రోన్ వేసంతెర్.	తాటి ఆకులతో ఇళ్లు కప్పుతారు.										
తాడిఙ్	/tāḍiṅ/		గంటి లాంటి	as hole for an earring													
తాడిస్ కమ్మల్	/tāḍis kammal/		ఇంద్ర ధనుస్సు	rainbow		పిర్ వాసి సొడిత పజ్జె తాడిస్ కమ్మల్ పెసియంత.	వర్షం వచ్చి పోయినప్పుడు ఇంద్రధనుస్సు కనిపిస్తుంది.										
తాతొ	/tāto/	adv	వేడి వేడిగా	fresh food or water (not used for fruit)		బస్కెగిర్ తిన్నెకె తాతొక్ తిందన.	ఎప్పుడైనా తినేటప్పుడు వేడి వేడిగా తినాలి.										
తాదల్	/tādal/	n	అన్నయ్య	elder brother	बडा भाई	నాక్ వరొర్ తాదల్ మంతొర్.	నాకు అన్నయ్య ఉన్నాడు.										
తాద్ మూర్యల్	/tād mūryal/			elder brother-in-law		బాయ్కొనొర్ తాదన్ తాద్ మూర్యల్ ఇంతట్.	ఇల్లాలి అన్నదమ్ములను, బావ, బామర్ది అంటారు.	The wife's elder brother is called *.									
తాదొ	/tādo/	n	తాత	father's father		బావనొర్ బాబన్ తాదొ ఇంతట్.	నాన్న తండ్రిని తాత అంటాము.	Father's father is called *.									
తాదొ-బాబల్	/tādo-bābal/	n	తండ్రి, తాత	ancestors (pl.)													
తాన్	/tān/	n	దానిని	that		తాన్ మొడి నిమ్మెగిర్ సవ్రెమామ్.	దాని లాగా నీవు కూడ తయారు అవ్వు.										
తాన్ దాత్న	/tān dātna/	pron	దాని లాగా	like that		నావ ఆంగ్డె తాన్ దాత్న మంత.	నా చొక్క దాని లాగా ఉన్నది.										
తాన్ మొడి	/tān moḍi/		ఆమేలాగా			తాన్ మొడి నన్నగిర్ సాడి పోండ్క.	ఆమేలాగా నేను కూడ చీర కట్టుకుంటాను.										
తాన్గటల్ వెల్లె	/tāngaṭal velle/		దాని కన్న ఎక్కువ														
తాన	/tāna/	pron	ఆమెది	her, its	उसकी	తాన పొరొల్ బతల్ మంత?	ఆమె పేరు ఏమిటి?										
తాన జాగతగ	/tāna jāgataga/		దాని స్థానంలో	in it's place		పేన్దున్ తాన జాగతగ ఇరంతెర్.	దేవున్ని దాని స్థానంలో ఉంచుతారు.										
తానజోడ్	/tānajōḍ/		ఆమె జత	pair of		తాన జోడ్ ఆంద్.	ఆమె జత.										
తాప్డ పా-	/tāpḍa pā-/	v	చెంప కొట్టడం	to slap	थप्पड़ मारना	నావ కోర్వితున్ తాప్డ పాతొర్.	నా చెంపను కొట్టాడు.										
తాపి కీమ్	/tāpi kīm/	v	బుజ్జగించు	pat on the back	समझा बुझा; फुसला	నిమ్మె చొకొట్ మాయ్‌నని ఇంజెర్ తాపి కీంతొర్.	నీవు చాలా మంచివాడివి అని బుజ్జగిస్తున్నాడు.										
తాపి మాయ్నల్	/tāpi māynal/		తాపీ వాడు														
తార్	/tār/	v	వైర్	to spread something out (blanket, paper, etc.)		వావ్టె పెన్సిన్ తార్ పాసెర్ మంతొమ్.	చేనులో ఎరువు వైర్ కొట్టుతున్నాము.										
తారిక్	/tārik/	n	తేది														
తాల వాట్వల్	/tāla vāṭval/		తాళము వెయ్యటం			బీర్వా తున్ తాలవట్సి ఇర్రన.	బీరువాకు తాళం వేసి ఉంచాలి.										
తాలి	/tāli/	n	పితకడం	pail, jug, tumbler	पुरवा; कुल्हड	మూరత పాల్ తాలితగ పీరంతెర్.	ఆవు పాలు ముంతలో పితుకుతారు.										
తావ	/tāva/	n	పెనం	oven	तवा	సారింగ్ తావితగ వెయుసంతెర్.	రొట్టెలను పెనంమీద కాలుస్తారు.										
తావ్-	/tāv-/	n	తీయడం	to dish up, spoon out		కుస్రిత్ గంజ్నల్ సుక్కుడె తావంతెర్.	కూరను గిన్నెలో నుండి గంటెతో తీస్తారు.	'dhal' is dished out of the pot with a spoon/ladle.		గంజ్నల్ గాటొ తావంతొర్.	గిన్నెనుండి అన్నం తీస్తున్నాడు.						
తావి	/tāvi/	n	కాల్చడానికి	earthen frying pan.iron frying pan		సారింగ్ తావితగ వెయుసంతెర్.	రొట్టెలను పెనంమీద కాలుస్తారు.										
తాస్	/tās/	n	వరుస	furrow dug along by the plough		తూరింగ్ తాస్ పియ్సి ఉర్సంతెర్.	తొగర్లు వరుస క్రమంలో నాటుకుంటారు.										
తాస్లి వాట్వల్	/tāsli vāṭval/	n	పన్ను వెయ్యడం	taxing		నీవ వావ్ట తాస్లి వాట్వల్.	నీ చేనుకు పన్ను వెయ్యడం.										
తాస్లితె సీమ్	/tāslite sīm/	v	కౌలుకివ్వు			మావ వావుర్ తాస్లితె సీతొమ్.	మా భూమిని కౌలుకిచ్చాము.										
తిక మక	/tika maka/	n	తికమక	bewilderment	परेशानी	సికటితె సొన్నెకె కడ్క్ తికమక ఆంతంగ్.	చీకటిలో వెళ్లేటప్పుడు తికమక అవుతుంటాయి.										
తికలి (జాడి)	/tikali (jāḍi)/	n	గున్క గడ్డి	kind of grass from which scented oil is extracted													
తిక్క	/tikka/	n	తిక్క	mania	पागल; पागलपन	పిస్సల్ తిక్కత్ వాసి బండతె పాంతొర్.	పిచ్చివాడు తిక్క రేగితే రాయితో కోడతాడు.										
తిక్కల్	/tikkal/	adv	తెల్లగా	white	सफेध	దవ్రల్ హెర్రెత తోల్ తిక్కల్ మందంత.	మేక తోలు తెల్లగా ఉంటుంది.										
తిక్కవాలె	/tikkavāle/		తల పిచ్చెక్కి	headlong													
తిడిగ్యల్	/tiḍigyal/	adj	కోపిష్టి	spitfire		తిడిగ్యలిర వట్ట సొన్వ.	కోపిష్టుల జోలికి పోవద్దు.										
తిడింజ్	/tiḍin̄j/	n	గోరు	claw, nail	पंजा	పేకింగ్ తిడింజ్క్‌నగ పాలిస్ సోకంతంగ్.	అమ్మాయిలు గోళ్ళకు రంగు వేసుకుంటారు.	Girls put nail polish on their fingernails.									
తిత్తి	/titti/	adj	తిత్తి	bladder	चमडे की थैली	తడకిత్ కరుమ్ తిత్తి మందంత.	కాలేయం దగ్గర తిత్తి ఉంటుంది.										
తింతంగ్	/tintaṅg/	v	తింటాయి	will eat		జన్వర్కున్ తిన్వల్ చీజ్క్ వాట్తెకె తింతంగ్.	పశువులకు తినే వస్తువులు వేస్తే అవి తింటాయి.										
తిన్వల్ కమ్ర	/tinval kamra/		భోజనం చేసే గది	dining room		కాకన రోన్ తిన్వల్ కమ్ర మంత.	చిన్న నాన ఇంట్లో భోజనం చేసే గది ఉంది.										
తిన్వల్ పుర్క	/tinval purka/		సొరకాయ			తిన్వల్ పుర్క లహ్క్ లహ్క్ సాదంతంగ్.	తినె సొరకాయలు పొడువుగా ఉంటాయి.										
తిన	/tina/	adj	కుడి	right	दाँया	చిట్టి తిన కయ్దె గాటొ తింజెర్ మంత.	చిట్టి కుడి చేత్తొ అన్నము తింటుంది.										
తిన కయ్దె	/tina kayde/	n	కుడివైపు	on the right hand	दाँया हाथ से												
తిన కాక్	/tina kāk/	adj		on the right hand side	दाँया तरफ़ मे	మావ రోన్ రామ్క్‌న గుడితున్ తిన కాక్ మంత.	మా ఇల్లు రామాలయానికి కుడి పక్కకు ఉంది.										
తినడి	/tinaḍi/	adj	కుడి	right	दाहिना; दायाँ	నావ తినడి కయ్ సెల్లె.	నాకు కూడి చేయి లేదు.										
తిప్పున్	/tippun/		గొర్రు	drill plough		జొన్ననగ డుడ్డుస్ మందవక్ నే తిప్పున్ దొసంతెర్.	జొన్నలో చెత్త ఉండకుండా గొర్రు ఉపయోగిస్తారు.										
తిమింగలం	/timiṅgalaṁ/		తిమింగలం														
తియ్ నరిగి	/tiy narigi/		ఉడుత రకం	a type of squirrel													
తిర్తుం	/tirtuṁ/		త్రిలింగ దేశం														
తిర్నె	/tirne/		బూడిద రంగులో														
తిర్నె తల	/tirne tala/		తెల్లటి తల			అమెరికా వాలిరంగ్ తలంగ్ బయ్ తిర్నె మందంతంగ్.	అమెరికా వారి జుట్టు తెల్లగా ఉంటుంది.										
తిర్ప్ పాయ్వలిక్	/tirp pāyvalik/		మెరుపు మెరిసినట్టు														
తిరి	/tiri/	v	తిరిగింది	to turn	मुड़ना												
తిరూస్	/tirūs/			to cause to turn	मुड़ना	కోందనే జొన్న సెన్‌దగా పాతి తిరూసీసి జొన్నంగ్ తెండంతెర్.	ఎడ్లను జొన్న యెన్నుల మీద బంతి కట్టి తింపుతారు.	Having made the bullocks go around on the 'jowar' heads at the threshing place, they remove the 'jowar'.									
తిరివల్ మాయ్నల్	/tirival māynal/		తిరిగే వాడు														
తిరిసివ	/tirisiva/	v	తిరిగిరా	come again		నిమ్మె ఉట్నూర్ సొంజి తిరిసి వా.	నీవు ఉట్నూర్ వెళ్లి తిరిగి రా.										
తిరుడి బాజి	/tiruḍi bāji/		ఒక రకమైన ఆకుకూర			తిరుడి బాజి కుస్రి అట్సి తింతెర్.	ఈ ఆకుకూర వండుకొని తింటారు.										
తిరుని	/tiruni/	n	జెర్రి	a blackish centipede		తిరుని బొమ్మితున్ రొప్పొడల్ పెసియంత.	జెర్రి భూమి లోపల నుండి వెలుతుంది.										
తిరుస	/tirusa/	v	తిప్పు	rotate													
తివ్-	/tiv-/	v	విరగడం	to break off while cutting	तोड़ना												
తిహ్-	/tih-/	v	తినిపించు	to feed	खिला	ఆడ్వల్ పేడిన్ కాకొ కేరెపండి తిహంత.	ఏడ్చే పిల్లకు అమ్మమ్మ అరటి పండు తినిపిస్తుంది.										
తీకె	/tīkya/	n	ఆవలు	mustard seed	राई	తీకె కుసిడగ వాట్తెకె కుస్రి చొకొట్ ఆంత.	తాలింపు వేసేటప్పుడు టప్పుడు ఆవలు వేస్తే కూర రుచిగుంటుంది.										
తీజ్ బీజ్	/tīj bīj/	n	పిడుగు	thunderbolt	वज्रपातज	పిర్ వానెకె తీజ్ బిజ్ అర్త.	వర్షం పడెటప్పుడు పిడుగు పడింది.										
తీర్ సెల్వక్	/tīr selvak/	adj	హద్దులేని	boundless		ఉంది తీర్ సెల్వక్ పిర్ వాసెర్ మంత.	హద్దు లేకుండా వాన వస్తుంది.										
తీర్ప్ వల్	/tīrp val/		చెరగటం														
తీర్ప్-	/tīrp-/	v	జల్లించు	to sift, removing small stones from rice	छनना	చిన్ని జొన్నంగ్ తిర్ప్‌సెర్ మంత.	చిన్నమ్మ జొన్నలు ఎరేస్తుంది.										
తుక్కు	/tukku/	n	తుక్కు	trash	कूडा करकट	కడ్క్‌నగ తుక్కుంగ్ అర్వక్ సూడన.	కండ్లలో తుక్కు పడకుండా చూడాలి.										
తుఙన	/tuṅana/	v	చేసుకోవాలి	has to do		నిమ్మె నాకున్ తుఙన ఇంజెర్ మంత.	నీవు నన్ను పెళ్లి చేసుకోవాలి అని అంటుంది.										
తుఙ్వల్	/tuṅval/		చేసుకోవడం	doing for own purpose		ఉంది పేడిన్ తుఙ్వల్ మంత ఇంజెర్ వెహంతొర్.	ఒక అమ్మాయిని చేసుకోవాలని ఉంది అని చెబుతున్నాడు.										
తుడ్కల్	/tuḍkal/	n.prop	ముస్లింవాడు	Muslims	मुसलमान	వేర్ దడి వాలె తుడ్కల్ ఆందుర్.	ఇతను గడ్డము ఉన్న ముస్లిం.										
తుడ్-	/tuḍ-/			to blow away													
తుడుస్-	/tuḍus-/	vi	తూర్పార పట్టడం	winnow	फटकना												
తుత్-	/tut-/	v	త్రాగే నీరు తట్టుకుంది	to suck	चूसना	నన్న యేర్ ఉంజెర్ మన్నెకె నావ గుడ్ఙతగ యేర్ తుత్త.	నేను నీరు త్రాగేటప్పుడు నా గొంతులో నీరు తట్టుకుంది.										
తుంగ్	/tuṅg/	v	చేయుట	to do	करना	నిమ్ చకొట్న కామ్ తుంగ.	నీవు మంచి పని చేసుకో.										
తుంగ్వల్	/tuṅgval/	n	కర్మ	fate	कर्म; काम; कर्तव्य; कर्मव्याकरण; अंत्यक्रिया	బాబనంగ్ పిత్రెంగ్ తుంగ్వల్ మంత.	నాన కర్మ కాండ చేసేది ఉంది.										
తుపన్	/tupan/	n	తుఫాను	storm	तूफान; आँधी	వడి మిసడి జోర్తె తుపన్ వాసెర్ మంత.	గాలి వాన బలంగా రావడం.										
తుపాన్‌తున్ దాత్	/tupāntun dāt/		తుఫాన్ లాంటిది			తుపన్ తున్ దాత్ వాయ్వల్ పిర్ బయ్ వాంత.	తుఫాన్ లాంటి రాబోయే వాన బాగా వస్తుంది.										
తుండ్సి	/tuṇḍsi/	v	అంటుకొని	to be stuck		సెవ్వెర్ చొకొట్ తుండ్సి మంత.	బంక మంచిగా అంటుకొని ఉంది.										
తుమ్మ (మర్ర)	/tumma (marra)/	n	తుమ్మ (చెట్టు)	babul tree	पेड़												
తుమ్రి (మర్ర)	/tumri (marra)/	n	తునిక (చెట్టు)	ebony tree	पेड़	తుమ్రి మర్రతంగ్ ఆకినె బీడింగ్, చుటంగ్ కీంతెర్.	తునిక ఆకులతో బీడీలు తయారు చేస్తారు.	They make 'beedis' and leaf-pipes from the leaves of the * tree.									
తుర్ర	/turra/	n	తుర్ర కొమ్ము	blowing horn		కోర్దె తయర్ కీసి ఉహ్కవడున్ తుర్ర ఇంతెర్.	కొమ్ముతో తయారు చేసి ఊదే దానిని తుర్ర అంటారు.										
తుల్సి (మర్ర)	/tulsi (marra)/	n	తులసి (మొక్క)	sacred Tulsa tree	पेड़	యేర్ తుంగ్సి తుల్సి మర్రత రోజీపూజ కీంతెర్.	స్నానం చేసి తులసి మొక్కను రోజు పూజిస్తారు.	Daily, after Brahmins (Hindus) take bath, they worship the 'Tulsa tree.									
తుస్క్ వల్	/tusk val/	v	తొలుచుట	cleaning													
తుహ్క తుమ్రి	/tuhka tumri/		చిన్న తునిక చెట్టు			తుహ్క తుమ్రిత మత్ కీంతెర్.	చిన్న తునిక ఆకులతో మందు చేస్తారు.										
తుహ్క్-	/tuhk-/	v	తుమ్ముట	to sneeze	छींकना												
తుహ్తొర్	/tuhtor/	v	ఒలకబొయ్యి	spill	छलका; गिरा; लुडका; उँडेल	యేతున్ తుహ్తొర్.	నీళ్లు ఒలకబోసాడు.										
తూటెమాతెర్	/tūṭemāter/	v	విడిపోయారు	got separated (m.)		ఆడ్‌మాడ్సొ ఇవ్విర్ జగ్డంగ్ కీసి తూటెమాతెర్.	ఆలుమగలు ఇద్దరూ గొడవ పడి విడిపోయారు.										
తూమ్	/tūm/	n	(పిండ ప్రదానం) పెద్ద దేవుని దగ్గర చనిపోయిన వారి పూజలు చేస్తారు	an animal (usually a goat or chicken) brought for sacrifice to the deities		పెర్స పేన్దగ తూమ్ తరంతెర్.	పెద్ద దేవునికి పిండప్రదానం తెస్తారు.	They bring a sacrificial animal to the place of the great deity.									
తూమ్ సియ్వల్	/tūm siyval/		పిండప్రదానం చేయుట			పెర్స పేన్దగ తూమ్ సీంతెర్.	పెద్ద దేవునికి పిండప్రదానం చేస్తారు.										
తూర్-	/tūr-/	v	ఒలకబొయ్యి	to spill, drop	छलकाना	బిందె తల్ యేర్ తూర్సెర్ మంత.	బిందె నుండి నీరు ఒలికి పోతుంది.										
తూస్-	/tūs-/	n	పంచడం			బోనంగ్ రొహ్క్ వొన్క్ తూస్తెర్.	ఎవరి ఇళ్లను వారు పంచుకున్నారు.										
తెగ్తొర్	/tegtor/	vi	తెగించాడు	to get ready	दुर्बल	వేర్ వోన్ పాయన్ సాటి తెగ్తొర్.	ఈయన ఆయనను కొట్టడానికి తెగించాడు.	He is getting ready to hit him.									
తెండ్క	/teṇḍka/	n	విప్పనా	large		నన్ అద్ దొహ్త నోడెతున్ తెండ్క.	అది కట్టిన దారం ముడి విప్పనా.										
