Gondi Word	Telugu Meaning
बोत्ता पीटद	కడపుతొ ఉన్న స్త్రీ
कडियाल्‍क	కడియం
नोर्रुड	కడుగుట
पीरु उबमड	కడుపు
पीरनोयुड	కడుపు నొయడము
कसेर	కత్తి
कत्तेरा	కత్తెర
कत्तेरा बंडा	కత్తెరా రాయ
कत्रिच्मड	కతిరించుట
वेसूडि	కథ
कड़कुंक एह्‍क वायमड़	కన్నిర్ రావటం
कडेर	కన్నిళు
कड़	కన్ను
कड़ु गुड्डु	కన్ను గూబ
कड़-पापा	కన్ను బొమ్మ
गनि	కని
कडु रेप्‍पा	కను రెప్ప
कपडगाल	కపడ్ గాల్
पन्ने	కప్ప
पन्ने मेस्‍कू	కప్ప గుడ్లు
मुच्‍चुडु	కప్పుట
वार्ता	కబురు
पोट्टे	కమ్చీ
कम्मरि	కమ్మరి
करगुडु	కరగడము
कर्गुतव	కరగినవి
कर्गगोट्मड़	కరగించడము
कस्‍कुड	కరవడము
करगना बंडा	కర్గె బండా
अरगना-बंडा	కర్గె రాయ్
कर्सु	కర్చులు
केव्वु	కర్ణము
टरबुजा काया	కర్బూజా
देवसाल्‍क	కర్మకాండ
कला	కల
पोंटोल	కలము
कलियुडु	కలవడము
कल्‍पुडु	కల్పడము
कडा	కల్లము
कंडतेम आयमड़	కష్టమ్ అవటము
कंडतेम	కష్టము
कस्‍टम कबड कियमड़	కష్టముగల పని చెయటము
कस्‍टम	కష్టం
कुर्रा	కంక
सिप्‍पिड	కంటిమైల
कंटे	కంటె
लेंग	కంఠము
कंडा बलम	కండరము
कंदीं	కందులు
कंदेना	కందెన
कंदेन तासमड़	కందెన పెట్టడము
कन्‍ड्ररां	కంనడ్రాలు
अड़गु	క్రింది భాగం
पूना	క్రొత్త
क्षार	క్షారము
पद्‍लेंगा	క్షెమంగ
कारले काया	కాకర కాయ
काकड	కాకి
कचुहमड़	కాగపెట్టడము
कायदोम	కాగిదము
काटके	కాటుక
कनूग् मरा	కానుగ చెట్టు
काया	కాయ
हादुड	కాయడం
तड़की	కారజెమ్
पॊंगुड़	కారడము
कारम	కారము
कारजेम	కార్జము
दिवोळ आम्‍स	కార్తీకం
कॉर्बनडायाक्‍साइड	కార్బన్ డాయ‍అక్సాయడ్
उपायम	కార్యము
आपीस	కార్యలయము
कालम	కాలమ్
काल्‍कुने तव्‍विसी वित्तुडु	కాలలతొ తవ్వి పరగెత్తడము
बोड्‍समड	కాల్చుట
ताकमड़	కాల్లతొ నడవడము
काल्‍कुना गोह्‍कु	కాల్లా గొర్లు
काल्‍कू	కాల్లు
काल देब्‍बा	కాలు దెబ్బ
काल	కాళ్ళు
कंचु	కాస్యా
कंगारु	కాంగారు
कांडि	కాండీ
किन्नेरा	కిన్నెరా ఒక వాద్యము
कील बोक्‍का	కీలు బొక్క
किचकिच इन्‍मड़	కీస్ కిస్ అని అరవడము
नय्यु	కుక్క
नय पोरी	కుక్క పిల్ల
पॊतू नय्यू	కుక్క(మగ)
सिंगुल्क	కుచ్చులు
कुट्टुडु	కుట్టు
कुटार	కుటార్
तिना	కుడి
तिना कय्‍दे	కుడిచేతితో
कोब्‍बेर कुड़का	కుడుక
उर्री	కుతంత్రం
कुत्तेम	కుత్తెమ్
कुत्तेम आयमड़	కుత్తెమ్ అవడము
कुत्तेम कियमड़	కుత్తెమ్ చెయడము
कुप्पा	కుప్ప
कुम्मर पुडी	కుమ్మరి పురుగు
कुम्मल	కుమ్మరివాడు
कुमूड (मर्रा)	కుమ్ముడు చెట్టు
मर्रि	కుమారుడు
पेकूर	కుమారులు
कुय्या	కుయ్య
कोर्दा कुरकुर इन्‍मड़	కుర్ కుర్ అనడము
कुर्सि	కుర్చి
उपिच्मड	కుర్చొపెటడము
कुरपुम	కుర్పు
कुरपे	కుర్పె
पोट्टिद	కురుచ
कुलम	కులము
तोय्‌टल	కులము పేరు
कळियता मेंजू	కుల్లిపొయన గుడ్డు
कुलिगाडु	కుళీవాడు
कुंकुम	కుంకుమ
कूटि	కుంటి
कुंटोड	కుంటివాడు
कुंटुड	కుంటుట
अड़का	కుండ
ऐरेन अड़का	కుండలు
कुंदेल	కుందేలు
कूटा	కూటా
पेगिड	కూతురు
कुसिर	కూర
कुसिर सामान	కూర వస్తువులు
हापाकायां-मिरसां(कुसिरकायां)	కూరగాయలు
उद्दुड	కూర్చో
कुल्‍हुड	కూళిపెయడము
बूती	కూళీ
कूसम	కూసం
कूसम तेंडमड़	కూసం తియడము
दुप्‍पी	కృష్ణ జింక
कोकसम	కొకసమ్
कोक्‍की	కొక్కి
कोगिल पिट्टे	కొకిల పిట్టె
सुय्यगा	కొచ్చగా
कोड़का	కొట్టము
जहमड	కొట్టుట
उर्रे अरमड़	కొట్లాడటము
मासूल तरास	కొడచిలువ
कोडियड	కొడలా
कोड़ंज़	కొడంజ్
कोडंज निय्यू	కొడంజ్ నూనె
कोर पीसे	కొడి పిల్ల
पेडाल	కొడుకు
दनेम कुसिर	కొత్మీరి
कोत्लल	కొతాలివాడు
कोतीतालेसीं दिसमड	కొతిలాగా కనపడటము
कोतीतसंटा अल्‍बट्‍कु	కొతిలాంటి అలవాట్లు
गिचचो	కొద్దిగ
गिचचो-गिचचो	కొదిగ, కొదిగ
कोब्‍बेर मारा	కొబ్బరి (చెట్టు)
कोब्‍बेर काया	కొబ్బరికాయ
कोबेर निय्यु	కొబ్బెర నునె
नारलेम काया	కొబ్బెరికాయ
कोम्मा	కొమ్మ
कोमन्नापोरो	కొమ్మలపైన
कोर	కొమ్ము
कोम्‍कु	కొమ్ములు
कुट्टा	కొయ్య
कोय्युडु	కొయ్యడము
हाटीं	కొరకు
कोर्कुड	కొర్కడము
कोरॆं-कोरॆं इन्‍मड़	కొర్రెం అని అర్వడము
कहुडु	కొలవడము
कोंका नक्‍का	కొంక నక్క
कोंगा	కొంగ
कोंगु	కొంగు/అంచు
कोंचम-कोंचम	కొంచం కొంచం
गुट्टा	కొండ
गुट्टा गट्टुक	కొండ కొన
कोंडीं	కొండి
कोंडेंगा	కొండెంగా
कोंडेंगा मुसकिरी	కొండెంగా మూతీ
कोंडेंगालेसीं मरक एक्‍कुमड़	కొండెంగాలా చెట్లు ఎక్కడము
इच्‍चुक	కొంత
कोटी	కోటి
कोर्रु	కోడి
कोरमेंजू	కోడి గుడ్డు
कोर पेट्टा	కోడి పెట్ట
कोरबूरा	కోడి బూరు
कोर-पोरि	కోడిపిల్ల
गोगोड	కోడిపుంజు
कॊती	కోతి
कोड्डी	కోన
जप्‍पना होंगवायनोर	కోపంగల
कोमटि जाति	కోమటోడు
सेक्‍कुड	కోయ్యడం
कॊलू	కోలూ
कोरगूडा	కోళ్ళగూడు
कॊसुल	కోసుల్
आलिंगन हियमड़	కౌగిలించుకొవడము
रोमबोच्‍चें कल्‍पमड़	కౌగిలించుట
कय	ఖరము
गज्‍जेर पंडि	ఖర్జూరము
गजगजा वन्‍कुमड़	గజ్జ గజ్జ వణకాడము
गज्जि	గజ్జి
गज्‍जे	గజ్జె
गट्टिगा	గట్టిగ
इरगा वितुमड़	గట్టిగా పర్గెత్తడము
गट्टितनम	గట్టితనమ్
गड्डा	గడ్డ (దుంప)
गड्डा कट्टुमड़	గడ్డ కట్టడము
गडापारा	గడ్డపార
दाडी	గడ్డము
जाडि	గడ్డి
जाडी कट्टा	గడ్డి మొపు
कोरियमड़	గడ్డెమ్ తియడము
गडि	గడియారము
नीरे	గత సంవత్సరము
गद्दे	గద్దె
गद्‍वा	గద్వభాగము
अर्रामूला	గది
अर्रा	గది, ఖాళీ ప్రదేశం
गन्ने	గన్నె
गबिलेंका पिटे	గబ్బిలము
सपलाका	గమ్ముగ
गमेला	గమెల
गर्का जाडि	గర్కా గడ్డి
बोत्ता आयमड़	గర్భధారణ
पीर	గర్భము
