Gondi Word	Hindi Meaning	Telugu Meaning
मल्वा (-जाडि)	घास	
मल्‍सी वायमड़	वापस आना	మల్పు
मल्‍हुड	वापस लाना	
मल्‍हुड	वापस लाना	
मस्‍क	धना	
महमड	खत्म करना	
महो (-महिना)		మాఘం
मांग	चितल	దుప్పి
माडमड़		మాడింది
माडा		తపాలము
माड्कमड़	झाँकना	
मांड्‍सा	आदमी	
मातरल	बुजूर्ग आदमी	ముసలివాడు
मातरि	बुजूर्ग औरत	ముసలమ్మ
मातरि	बुजूर्ग औरत	ముసలమ్మ
मातिर जिवराशीं	बुढा जानवर	ముసలి పశువు
मातिर दादल	दादाजी	తాతా(నాయన తండ్రి..)
तादो बाबल	पड़दादा	పూర్వీకులు
मातिरतनम	बुढ़ापा	
माद्‍गी	चमार	మాదిగ
मान	मर्यादा	మర్యాద
मान हियमड़	मान देना	
वातोना उंदि प्रकारता सेवा कियमड़	सेवा करना	
मान-मर्यादा	सम्मान देना	
मान हियमड़	मान देना	
मान-मर्यादा	सम्मान देना	
मामल	मामा	మామ
मामाल	ससूर	మామయ్య
मायसोनमड़	गायब होना	మాయము అవ్వడం
मारमड़	खत्म होना	
मारु बूमी	पुरानी भूमी	
मालक	मालिक	యజమాని
माला गोर्रेंका	मैना	
मालावाड	महार जात का आदमी	
मालिस कीयमड	मालीश करना	
मावंग	हमारा	మనది
मावद	हमारा	మనది
मावंग	हमारा	మనది
मासूल तरास	अजगर	కొడచిలువ
मिंगुडु		మింగుట
मिगुल्तव	बचा हूआ	
मिच्चो	बिच्छू	తేలు
एर्राटा मिच्‍चो	लाल बिच्‍छू	ఎర్రటి తేలు
मिडहमड़	पलटाना	
मिंडिच्‍चुड	सुलाना	పండబెట్టుట
मिडुंगमड़	पलटना	
मिडहमड़	पलटाना	
मिद्दे	इमारत	బంగ్లా
मिनका पुडि	जुगनू	మినుగురు పురుగు
मिनगुर	चिनगारी	
मिनमूल्‍क	उडीद	మినుములు
मिनोडा (मर्रा)	पेड़	
मिमेट	तुम	మీరు
मिम्मेट	तुम	
मियड	लडकी	కూతురు
मियड-मर्रि	लडकी-लडका	
मियुड	अंकुरीत होना	
मिसाल्‍क	मूंछ	
मींडमड़	सो जाना	నిద్రపొ
मींडा	सो जाओ	పండుకో
मिंडिच्‍चुड	सुलाना	పండబెట్టుట
मीन	मछली	చేప
मीवद	तुम्‍हारा	మీది
मीसम	मूंछ	మీసము
मीसाल्‍क	मूंछे	మీసాలు
मीसाल्‍क	मूंछे	మీసాలు
मुक्‍का	टुकडा़	ముక్క
मुक्‍का कियमड़	टुकड़ा करना	
मुक्‍का कियमड़	टुकड़ा करना	
मुक्‍कु पॊगू		ముక్కు పుడక
मुक्राड-आ-	सजना	
मुक्राड-आ-	सजना	
मुंग्से	मुंगूस	ముంగీస
मुचमड़	ढंकना	
मुच्‍चुडु	ढकना	కప్పుట
मुच्‍चुता तोड़दुन होळ्‍समड़	झांके मुंह को छोड़ना	
मुच्‍हूड	भोंकना	
मुटुडु		ముట్టుడు
मुडगुड	डुबना	
मुडहुडु	डुबाना	
मुडुंग-	मुडुगुमड़	
मुडहुडु	डुबाना	
मुड़ि	गांठ	ముడి
मुडुंग-	मुडुगुमड़	
मुडू मल्‍कां	तीन बार	
मुड्‍गमड	डूबना	నష్టపోయిండు
मुत्तो	बीवी	భార్య; ఆడది
मुर्तड-मांड्‍सा	आदमी-औरत	స్త్రీలు, పురుషులు
मुत्तो-मुय्‍दो	पति-पत्‍नी	భార్య భర్త
मुदुरवद	कोवला	
मुद्दा	अंगुठी	ఉంగరము
मुद्दा वॆलू/वंड़जु	अंगुठी की उंगली	
मुद्दा वॆलू/वंड़जु	अंगुठी की उंगली	
मुनि	संत	సజ్జనుడు
मुन्ने	सामने	ముందర
मुन्नेटा जमानाते	उस जमाने मे	
मुन्नेड़क जरगुमड़	आगे सरकना	
मुप्‍पै	तीस	ముపై
मुप्‍पै उंदि	इकत्तीस	
मुप्‍पै एडूं	सैंतीस	
मुप्‍पै एनमिदि	अड़तीस	
मुप्‍पै तोम्मिदि	उनतालीस	
मुप्‍पै नालूं	चौंतीस	
मुप्‍पै मूडु	तैंतीस	
मुप्‍पै रोंडु	बत्तीस	
मुप्‍पै हारूं	छत्तीस	
मुप्‍पै हेय्यूं	पैंतीस	
मुय्‍दो	पती	భర్త
मुर मरा	पलस का पेड़	మోదుగు (చెట్టు)
मुरतड	औरत	స్త్రీ
मुरिगिसी होत्ता मेंजू	सडा हुआ अंडा	
मुरिया मर्री(मुय्‍दोना दादाना मर्री)	भतिजा	
मुर्की	मैल	మైల
मुर्ग-मुर्ग	बदबू	
मुर्ग्मड़	सड़ना	
मुर्तड-मांड्‍सा	आदमी-औरत	స్త్రీలు, పురుషులు
मुल्‍ले	गठरी	
मुल्‍ले दोहामड़	गाठोडा बांधना	
मुव्‍वुर	तीन जण	ముగ్గురు
मुसमुसा कवमड़	हसना	
मुसूर	रिमझिम बारीश	రుతుపవనం
मुस्‍का बुट्टी		ముస్కె
मुस्‍किरी	मूंह	
मूकाल	मुका	మూగవాడు
मूडू	तीन	మూడు
मुव्‍वुर	तीन जण	ముగ్గురు
मूडो	तिहाई	
मूता	ढक्‍कन	మూత
मूता तेंडमड़	खोलना	
मूला	कोना	
मूल्‍गुमड़	गुर्राना	
मूळम	शबनम	
मूस्‍कुड	बास लेना	
मॅगनिज	मॅगनीज	
मॆ इंचि अड़मड़	मे-मे करना	
मॆता(पशुल्‍कुंक)	खुराक	జంతువుల (గడ్డి)
मॆंदुल	बदन	శరీరము
मॆंदुल उबरिच्मड़	गरमी होना	
मॆंदुल्‍क सेमटा पेय्‍समड़	शरीर में पसींना आना	
मॆंदुल्‍ता पजोटा बागम	पीठ	శరీర వెనుక భాగము
मॆरोडु	कपडा बीनने वाला	
मेंज	अंडा	గ్రుడ్డు
मेस्क	अंडे	గ్రుడ్లు
मेंजू पय्‍सी पोरी पलाते अरमड़	अंडा फुटके पिल्‍लू का बाहर आना	
मेट्टा	परबत	గుట్ట
मेता	खुराक	
मेंतुल्‍क	मेथी	
मेत्तगा	कोमल	మెత్తగ
मेत्तगा कियुडु	नरम करना	
मेत्तटा तांबेल	कच्‍छुआ	
मेदड	अक्‍कल	మెదడు
मेंदी	मेंहदी	
मेंदुल पोरोटा गीतां	शरीर पर लकींरे	
मेदुलमड़	हिलना	
मेयुडु	चरना	
मेय्‍सुडु	धार देना	
मेय्‍से बंडा	धार देने का पत्‍थर	
मेय्‍से बंडा	धार देने का पत्‍थर	
मेरसमड़	चमकना	మెరుస్తుంది
मेरसुड़	बिजली का चमकना	
मेरसुडु	चमकना	
मेरसो	कम उजाला देना	
मेरस्मड़	चमकना	
मेरसुडु	चमकना	
मेल्‍लगा	धीरे	మెల్లగా
मेल्‍लगा-मेल्‍लगा डेकूमड़	धीरे-धीरे रेंगना	
मेल्‍लगा-मेल्‍लगा दगेर्कु वायमड़	धीरे-धीरे नजदिक आना	
मेल्‍लेगा	धीरे-धीरे	
मेल्‍हुमड़	झिंझोड़ना	
मेस	अंडी	
मेस्क	अंडे	గ్రుడ్లు
मेस्‍क पेल्‍कमड़	अंडे डालना	
मैदम	मैदा	
मैंदी	मेंहंदी	సింగారం; పచ్చబొట్టు
मैयमड़	बच गया	
मॊता	भार	కట్టెలమోపు
मोकोम	चेहरा	మొఖం
मोग्‍गा	कली	
मोटोस	नजदिक	
मोट्‍कु	लकड़ी	కట్టే
मोतुकुन्‍मड़	चिल्‍लाना	
मोत्‍कुन्‍मड़	दहाड़ना	
मोदगाला	पहले	మొదలు
मोदोल	खोड	
मोदोल	शुरुवात	మొదలు
मोद्दु	मोटा	దొడ్డు
मोद्दू		మొద్దు; కట్టే
मोमोट	हम	మేము
मोरोल		మొక్క
मोलापट्टा	कमरपट्टा	
मोलिय्मड़	अंकुर निकलना	
मोल्‍दारम	करधोडा	మొలత్రాడు
मोल्‍ला	खिला	
मोसोटुन गट्टिगा पियमड़	नाक को दबाके पकड़ना	
मोसोटुन नल्‍सुमड़	नाक को रगड़ना	
मोसोटुन पीयमड़	नाक को पकड़ना	
मोसोटुन साप कियमड़	नाक साफ रखना	
मोसोटे एर होळियमड़	नाक में पानी जाना	
मोसोटे दुम्मु होळियमड़	नाक में धूल जाना	
मोसोर	नाक	ముక్కు
मोसोरते गुलागुला आयमड़	नाक खुजाना	
म्यांव-म्यांव इन्‍मड़	म्या-म्या करना	
यायाल(सिन्नी)	चाची	చిన్నమ్మ
यावना बाबल	नानाजी(माँ के पिताजी)	
यावना यावल	नानी(माँ के माँ)	
यावल	माँ	తల్లి; అమ్మా
तलुर-बाबो	माँ-बाप	
येड्वीर	सात जण	
येत्मा		దేవుని పేరు
येदमड़	बीजना	
येद्दा कट्टे	इंधन	వంటచెరకు
येमुडु	यमराज	
येर तुंगमड़	नहना	చెయుట
येर्रा कोर्रु पोरी	लाल मुर्गी का पिल्‍लू	
येर्रा डोक्‍के	लाल गिरगीट	
येर्रा पुडी	गांडुळ	
रक-रकाल्‍क/तीर-तीर्क्‌ना	तरह-तरह के	అనేక రకాలు
रंगु	रंग	రంగు
रंगुल्‍क	तरह-तरह के रंग	రంగు రంగుల
रंगुल्‍क	तरह-तरह के रंग	రంగు రంగుల
रट	मोटा	
रपरपा कियमड़	फड़फड़ना	
रंबा	पोपट	చిలుక
रसम	रस	
रह-	उमड़ना	
रांगमड़	गाली देना	తిట్టుట, దూషించుట
रागी	तांबा	రాగి
राजवाडा	राजमहल	రాజ్యము
राजाल	राजा	రాజు
रांडे	विधवा औरत	వధవరాలు
राती बंडा	चट्टान	
रानी	राणी	రాణి
रामराम कियमड़	सलाम मारना	వందనలు; నమస్కారాలు
रायिसिडिमाटो		పక్షిపేరు
रालसोन्‍मड़	गुम होना	
रासमड़	रगड़ना	
रासुड़	लिखना	వ్రాయుము
रिकोम	खाली	
रीका बाका इर-	बिखेरना	
रिकोम कियमड़	खाली करना	
रीका बाका आ-	छिटकना	
रिकोम कियमड़	खाली करना	
रिमा वायमड़	चक्‍कराना	
रीका बाका आ-	छिटकना	
रीका बाका इर-	बिखेरना	
रुद्दे जिम्मा		సన్న జిమ్మ
रुम्मेना		రుమడ
रुसि	रुचि	రుచ్చి
रुसि हिल्‍वद	बेचव	
रूपाय	रुपया	రూపాయి
रूपें	पैसा	రూపాలు
रूपें	रुपया	డబ్బులు
रूपें	पैसा	రూపాలు
रूमाल	फेटा	రుమ్మలు
रेकुल्‍क	टीन टप्‍पर	రేకులు
रेक्‍का	पर	రెక్క
रेक्‍कां उपमड़	पंख हिलाना	
रेंगा	बेर	రేగు పండు
रेजिकटि		రేచీకటి ఆయన
रेंडुन नरा	ढ़ाई	రెండున్నర
रेप्‍पां	कल्‍ले	
रेय्युडु	उतरना	దిగు
रेसा	रेषा	
रेहुडु	उतारना	దించు
रोगम	रोग	
रोज	दिन	రోజు
रोज़-रोज	हरदिन	
रोज़-रोज	हरदिन	
रोंडि		తొడ
रोंडु	दो	రెండు
रोंडु काल्‍कु	दो पैर	
रोंडु बाजुकुनाल ताकमड़	दो बाजूओ सें चलना	
रोत-कारूम्नोर	पड़ोसी	
रोंबोच्‍चे मेदुल्मड़	छाती का हिलना	
रोम बोच्‍चे	छाती	రొమ్ము; చాతి
रोमबोच्‍चें कल्‍पमड़	बाहों में भरना	కౌగిలించుట
रोय्या	झिंगा	రొయ్య
लक्‍का	लाक	లక్క
लक्‍कु	बदमाश	దేశదిమ్మరి
लक्‍कु	दूर	
लगांचि	जोर से	జోరుగా
लग्‍गु	ताकत	బలము
लग्निंग	विवाह	లగ్నము; పెండ్లి
लंग्याल		వట్టి
लंग्याल		వట్టి
लडायि	लडाई	యుద్దము
लंडु	आलसी	
लप्पंगी	झूठा	
लंबडदि	बंजारिण	
लबाड	झुठा	అబద్దము
पोंगुड़ वेहामड़	झूठ बोलना	
लंबाडोड़(म.)	बंजारा	బంజార మనిషి
लंबडदि	बंजारिण	
लंबू	लंबा	
लागू	हाफ पँट	
लाड	प्यार	ప్రేమ
लाड-कियमड़	प्यार करना	ప్రేమ చూపడం
नौरी	दुल्‍हन	
नौरल	दुल्‍हा	
लाड-कियमड़	प्यार करना	ప్రేమ చూపడం
लुटांच्मड़	लूटना	దొంగిలించుట
लॆतद	कोवला	లేతగ
लेक्‍का	गिनती	లెక్క
लेक्‍कुमड़	गिनना	లెక్కించుట
लेंग	आवाज	కంఠము; రాగము
लेय्यगा	युवा	
लेय्यड	युवती	యువతి
लेय्योड	युवक	యువకుడు
लेय्यड	युवती	యువతి
लेसीं	जैसी	
लेहामड़	छोड़ना	
लेहेंगा	लहंगा	
लॊता पज्‍जो	मकान के पीछे	
लॊतु	गहरा	లోతు
लॊतोर	मकानवाले	
लॊन	मकान	ఇల్లు
रोत-कारूम्नोर	पड़ोसी	
लॊतोर	मकानवाले	
लॊन ऊसमड़	मकान सारना	
लॊन दोहमड़	घर बनाना	
लोंका	दरी	
लोकुल्‍क	लोग	ప్రజలు
लोटापेटा	ऊँट	ఒంటె
लोट्टा	फनल	
लोता पक्‍कातोर	पडोसी	
लोता सुटुना जॆगा	आंगन	ఇల్లు చుట్టుస్థలము
लोतु कियमड़	गहरा करना	
लोद्दी	घाटी	పల్లం
लोद्दी	बैलगाडी चलकर बना हुआ खाई	కచలము నడసి తయరైన లొద్దీ
लोद्दी	पानी बहकर बनी खाई	
लोप्‍पो	अंदर	లోపల
लोप्‍पो केरन्ना बनियन	अंदर पहननेका कपडा	
लोप्‍पो केरन्ना बनियन	अंदर पहननेका कपडा	
लोप्‍पो वाटमड़	के अंदर डालना	
लोप्‍पोटा अर्रा	कमरा	గది
लोल्ली	शोर	అల్లరి
लोल्‍ली कियमड़	शोर मचाना	అల్లరి చెయుట
लोल्ली	चेंगड़	
लोल्‍ली कियमड़	शोर मचाना	అల్లరి చెయుట
लोहकुने गूरें पिसी मनना	दीवारों पे रहना	
लोहचूंबक/चुंबक	लोहचुंबक	
लोहुडु	भेज़ना	పంపుము
लोह्‍क	अनेक मकान	
लोह्‍कु कूलमड़	घरों का गिरना	
वंकर-डिंकरा	टेडा-मेड़ा	వంకరటింకర
वंकरा-डिंकरा आसेके ताकमड़	घूमते हूये जाना	
वकीलु	वकील	న్యాయవాది
वंगुडु	झुकना	వంగింది
वजन/सडती	भार	
वजनीका	पेड़	
वंजि जाडी	तनीस	
वंजिंग	धान	వరి
वंजी	धान	వరి
वंजिंग	धान	వరి
वट्नाल्‍क		బటాని
वड़कुमड़	बोलना	మాట్లాడు
वड़ा पिय्युड	गाड़ना (द्रव)	
वड़ी	हवा	గాలి
वड्डी	ब्याजदर	అప్పు
वड्‍लल	खाती	
वड्‍ला पिट्टे		వడ్లపిట్టె
वतिसोन्‍मड़	सुक जाना	
वत्ता	सुक गया	
वत्तिच्मड़	सुकाना	
वत्तिस होनमड़	सुक जाना	ఎండిపోవడము
वत्तिस होन्‍मड़	सुक जाना	చిక్కి పోవడము
वत्ती	बत्ती	వత్తి
वत्तुडु	सुकना	
वत्ता	सुक गया	
वन्‍कमड़	कांपना	
वयह्‍क		ఆవలించు
वय्‍सु	उमर	
वरगेय्मड़	चिल्‍लाना	
वरसा	साल	సంవత్సరము
वरहुमड़	झुकाना	
वरोर	अकेला	
वरोर(म.)	अकेला	ఒక్కతనే
उंदे(मु.)	अकेली	ఒక్కతను
वर्सगा	उसी समय पर	
वल्‍सां होन्‍मड़	स्‍थलांतर करना	
वळी इग्‍गुडु	हवा खींचना	
वळी पलाते होळ्‍समड़	श्‍वास बाहर छोड़ना	
वळी लोप्‍पोड़्क इग्‍गुमड़	श्‍वास अंदर लेना	
वळी होळ्‍सुड़	हवा छोड़ना	
वहुडु	जनम देना	
वाक्डाल	कुटिल	
वाटमड़(मोल्‍का)	रोपना	
वातावरणम	वातावरण	
वातोना उंदि प्रकारता सेवा कियमड़	सेवा करना	
वाना कोगिल	सांप का प्रकार	
वायुडु	आना	రావాలి
वारना		వార్న
वारसदार	उत्तराधिकारी	
वार्ता	ख़बर	వార్త; కబురు
कबुर कियमड़	ख़बर सुनाना	వార్త చెప్పుట
वालगु जिम्मा (मीन)		ఆలుగు (చేప)
वासना	बास	
वासा	फाटा	గుంజ; వాసము
विचारम	विचार	
विचारम कियमड़	सोचना	
विज्जा		విత్తనము
विज्‍जा पंडुग	पोला	
वित्तुडु	दौड़ना	ఉర్కుట
वित्‍सेके-वित्‍सेके आगमड़	दौड़ते-दौड़ते रुक जाना	
विमानम	विमान	విమానం
विरियता मेंजू	फटा हूआ अंडा	
विषम	जहर	విషము
विसय	विषय	
विसुरमड़	फेंकना, डालना	విసురుట; వేయుము
विस्वास कियमड़	यकीन करना	
विस्सुमड़	चूरना	
वीच/बोंदा	समाधी	గోరి
वीनी-की-	बुनना	
वीसी	मक्‍खी	ఈగ
वॆडसी	चांद	చంద్రుడు
वॆता	जल गया	
बोळ्‍समड़	जलाना	
वॆरे	दूसरा	
वॆरे	अलग	
वॆरे-वॆरे	अलग- अलग	
वॆरे-वॆरे	अलग- अलग	
वॆला	समय	
वॆली	वेल	తీగ
वेङूर (मर्रा)/संड्रा	पेड़	
वेटेड	बाडी	పెరడు
वेड़सी	चाँद	చంద్రుడు
वेड़सी इर्रना उंदि जॆगा	दीप रखने का जगह	ఇత్తడితో చేసిన దీపముల సమూహము
वेडी/एर दोसमड़	पानी डालना	
वेडेर	गर्दन	
वेड्सी	चिराग़	
वेनबोक्‍का	पीट	వెనుక భాగము
वेन्ना	घी	మీగడ
वेराहमड़	डराना	బెంగ పెట్టుట
वेराहमड़	डराना	
वेरियमड	डरना	భయపడుట
वेरियसि	डर के	
वेरे कियमड़	अलग करना	
पैलंच्मड़	फैलना	
वेर्कड	बिल्‍ली	పిల్లి
वेर्रे	डर	
वेराहमड़	डराना	
वेर्रे हिल्‍वोड	साहसी	
वेर्से		ఉడుత
वेलड पीसि पोंगगोटमड़	टांगकर रखना	
वेलड वाटमड़	टाँगना	
वेलूंग		దడి
वेल्‍कु/वंड्‍जुक	उंगलियाँ	
वेल्‍गु	उजाला	వెలుతురు
वेल्‍गुने	उजाले में	
वेल्ले	बहोत	ఎక్కువ
वेल्‍लेन	बहुत	చాలా ఎక్కువ
वेल्‍लेन गर्दि	भीड़	
वेसमड़	लगना	
वेसुमड़		కప్పుట
वेसूडि	कहाणी	కథ
वेहमड	बताना	చెప్పండి
वोर (ओर)	वो	అతను
व्‍हसलिन	व्‍हसलिन	
शीलम	पत्थर	
संका		చంక
संका जॊरा	थैले का एक प्रकार	
सक्‍ती	समर्थ	
संगी	मामा का लडका	
संगी(मेना मामाना/अत्ताइना मर्री)	मामा का लडका	మేన మామ కొడుకు
संगो(मेना मामाना/अत्ताइना मिय्यडु)	मामा की लडकी	మేన మామ కూతురు
संगो	मामा की लडकी	మర్దలు
संगो(मेना मामाना/अत्ताइना मिय्यडु)	मामा की लडकी	మేన మామ కూతురు
संगोडि	नाव	నౌక
सगोम	आधा	సగము
सजांच्मड़	सजाना	
सट्टी नेला		మార్గశిర (డిసెంబర్)
सडे-मियाड	हडे मिय्यड(सेल्‍लेना/अक्‍कना मिय्यड)	
संड्कल	महार	
संड्रा मरा	खैरी का पेड़	
सततद	खुद का	
ओना वरोनदे	उसका खुद का	
संतार निम्मा	संत्रा	నారింజ
संतार निम्मा मरा	संत्रा का पेड़	నారిజ చెట్టు
सति देवुळ	सती देवता	దేవుని పేరు
सति पोरो होनानेंके तनना डोलू	सती चढ़ाते समय बजाने का इक वाद्य	
सति पोरो होनानेंके तनना डोलू	सती चढ़ाते समय बजाने का इक वाद्य	
सत्तेम	सच	
संदरम	समुंदर	
संदा	चंदा	
सनेरम	शनिवार	శనివారము
सन्नम	दुबला	
सपडांका मनमड़	चुपचाप रहना	
सपलाका	चूप रहना	గమ్ముగ
सपाट जॆगा	सपाट भूभाग	
सपाट हिल्‍वा जॆगा	डोंगराळ प्रदेश	
सप्‍पगा	रुचीहीन	చప్పనైన; చప్పగా
सब्‍बु	साबून	
समाज मंदिर	समाज मंदिर	
सम्मिस		ఆరువది
सम्‍ली		నువ్వులపొడి
सरगम	स्वर्ग	
सर्‌वा	गुंड़	
सल्‍लगा	ठंडा	చల్ల
सल्‍लगा आयमड़	ठंडा हो गया	చల్లబడింది
सल्‍लगा कियमड़	थंडा करना	
सल्‍लटद	अधिक ठंडा	చల్లటి
सल्‍लटा(एरु)	ठंडा पानी	చల్లటి (నీరు)
सल्‍लुमड़	फेंक देना	
सल्ले		దేవ ప్రతిమ
सवडु मन्नु	चिनी मिट्टी	
सवरिच्‍चुड	दुरुस्‍त करना	
दुरुस्‍त आयमड़	दरुस्‍त होना	
सहा	चाय	తేనేరు; ఛాయ
साई	शाई	
साक्षेम	साक्ष	సాక్ష్యము
सातराम(वेसुडी)	कहाणी	పొడుపు కథ
साती	सीना	చాతి
सादर	चंदा लगाना	సందా
सादा-सिंपल	सादा	
साप कियमड़	साफ करना	శభ్రపరుచు
साप-सापाय	साफ सुतरा	పరి శుభ్రపరుచుట
साप-सापाय	साफ सुतरा	పరి శుభ్రపరుచుట
सापा	थराड पट्टी	
सापा	थराड़ पट्टी	
सामन	सामान	
सायकल	सायकल	
साले मरा	सालई का पेड़	
सालेवाड	सालेवार	నేతపనివారు
सासू	सास	
साहा	चाय	
सिकार	शिकारी	వేట
सिकारी कियमड़	शिकार करना	
सिकारी कियमड़	शिकार करना	
सिक्‍कगा	गाडापन	
सिक्‍कटा बुर्दा	गाड़ा कीचड़	
सिक्सा	शिक्षा	
सिंगिड	इंद्र–धनुष	ఇంద్రధనుస్సు
सिंगुल्क	कपडा	కుచ్చులు
सिग्‍गु अरमड़	शरमाना	సిగ్గుపడుట
सिट्‍के वाटमड़	चुट्‍की बजाना	
सिट्टी	कलसा	
सिडांचमड़	चिडाना	
सितापाला मरा	सिताफल का पेड़	సితాఫలం (చెట్టు)
सित्‍कु	कचरा	చెత్త చెదరము
सिने कच्‍लम	छोटा खटारा	చిన్న ఎద్దుల బండి
सिने तम्मुर	छोटा भाई	తమ్ముడు
हेरुंडु कोको	साला	మర్ది
सिने नानाल/काकाल	छोटा काका	
सिने सिन्नी	माँ की छोटी बहन	
सिन्‍कु	बूंद	
सिन्‍कुल्‍कु	बारिश के बूँद	చినుకులు వచ్చుట
सिन्नगा	छोटा	చిన్నది
सिने नानाल/काकाल	छोटा काका	
सिने सिन्नी	माँ की छोटी बहन	
सिन्नगा आयमड़	भांड़ा होना	
सिन्नगा-सिन्नगा आयमड़	छोटा-छोटा होना	
सिन्ना कट्टे	लाठी	
सिन्ना काल्‍कु	छोटे पैर	
सिन्ना गुट्टा	छोटा पहाड	
सिन्ना गुड्‍से	छोटासा मकान	
सिन्नी	चाची	పిన్ని; చినమ్మ
सिन्ने कोडियड़	छोटी बहु	తమ్ముని భార్య
सिन्ने तट्टा	टोकरी	చిన్న గంప
सिन्ने नार	गाँव	చిన్న ఊరు; గూడెము
सिन्ने पॆगु	छोटा-सा कपडा	
सिन्ने पेगिड	नाबालिका	చిన్న ఆడపాప
सिन्ने पेडल	नाबालिक	చిన్నమొగపాప
सिन्ने मीन	छोटा मच्‍छली	చిన్న చేప
सिप्‍पा		మట్టి పల్లెము
सिप्‍पिड		కంటిమైల
सिमिडी पेय्‍समड़	सेंबुड़ निकालना	
सिंमेट गूरे	सिमेंट का दीवार	
सिम्‍नि	चिराग़	దీపము
सिम्मुमड़	उछलना	
सिरमंतोड	धनवान	ధనము గలవాడు
सिराप	सीर्फ	
सिर्क-सिर्क कियमड़	सिर्क-सिर्क आवाज करना	
सिर्तागंड	बिबट	చిరుత పులి
सिर्रा-गोने	गिल्‍ली डंडा	
सिलुम पियमड़	जंग चढ़ना	త్రుప్పు పట్టింది
सिल्‍का	पोपट	రామ చిలుక
सिल्‍पम	शील्‍प	సిల్పం
सिल्‍लुमड़	ऊठना	
सिवम	शेर	సింహం
सिस पेंसिल	पेन्‍सील	పెన్‌సిల్
सीपा		నిచ్చెన మధ్యనవున్న చెక్క
सीमा कुंदेल	चिम खरगोश	
सीमा कोर्रु	चिम मुर्गी	
सीरमड	चीरना	
सील्का	छोटा नाला	చిన్నవాగు
सीसा	शिशा	
सुकम	सूख	సుఖము
सुक्‍का	तारा	చుక్కలు; నక్షత్రం
सुक्‍का		చుక్క
सुक्‍कांना तांबेल	टिपकेवाला कच्‍छुआ	
सुक्‍क्रारम	शूक्रवार	శుక్రవారము
सुटुरगा		చుట్టు
सुड़ि		సుడి
सुंडेल्‍ली	चुहा	
सुतिल नोंडे	सुतली(रस्‍सी)	
सुत्ते	हातोडा	సుత్తె
सुद्रंचा	सुधरना	
सुद्रे कीम	सुधराना	
सुनामी	सुनामी	
सुन्नम	चुना	సున్నము
सुन्ना तोडी	चुना जैसी मिट्टी	సున్నపు మట్టి
सुन्ना बंडा	चुना पत्‍थर	సున్నపు మట్టి
सुन्ने	शून्‍य	సున్న
सुन्नो	चुना	
सुपरुड(वेल्‍कुन)	उंगलियाँ चाटना	
सुय् पद्दि	साही	ఏదుపంది
सुय्यगा	धार	కొచ్చగా
सुय्यगा मनना कोस्‍सा	धार	
सुरुव कियमड़	प्रारंभ करना	ప్రారంబించు
सूदी	सूई	
सूरपंचा	घर का पीछे का भाग	
सॆगा	गाभा	
सॆदेपा मरा	कड़ुनीम का पेड़	వేప (చెట్టు)
सेक्‍करा	शक्‍कर	పంచదార(చక్కెర)
सेक्‍कां	टुकडे	చెక్కలు
सेक्‍कां किया वांता	टुकडे कर सकते है	
सेक्‍कुड	टासना	కోయ్యడం
सेंडि	गेंद	బంతి
सेडुगु तरास		చెడుగుపాము
सेड्डा मनकल	गलत आदमी	
सेड्डी	छड्डी	
सेत्तिरि	छाता	గొడుగు
सेदु	पलेह	
सेदू	कड़वापन	
कय्मूल	कटु; कठ्ठा; कड़वाहट	చేదు
सेदेपा मरा	नीम का पेड़	నిమ్మ చెట్టు
सेदेल	उदडी	
सेनगा पिंडि	चने का पीठ	
सेन्ने(जिम्मा मेस्‍कु)	मच्‍छली के अंडे	
सेंपा	गाल	చెంప
सेंपा पोरो तन्‍मड़	थप्‍पड मारना	
सेंबु	लोटा	
सेमटा काया	घमौरिया	చమటకాయ
सेमटा गब्‍बु	पसींने की बदबु	
सेमटा दोसमड़	पसींना निकालना	
सेमटा पियमड़	पसींना पकड़ना	
सेम्टा	पसीना	చెమట
सेम्टा दोसमड़	पसीना आना	
सेम्टा दोसमड़	पसीना आना	
सेम्‍सा	चमच	చెమ్చా
सेरवु	तालाब	చెరువు
सेल्‍ला	तौलियाँ	
सेल्‍ली	पूंछ के बाल	
सेव्टि मनकल	बहरा आदमी	
सेव्टिद	बहरी औरत	
सेव्टिद	बहरी औरत	
सेव्‍टिद	बहरी	చెవిటిరాలు
सेव्‍टी	बहरा	చెవిటివాడు
सेव्‍टिद	बहरी	చెవిటిరాలు
सेव्टोड	बहरा	
सेसा	धान्‍य दान	
सोक	सुंदर	అందమైన
सोक्‍लल	धोबी	
सोक्‍ले	धोबीण	
सोक्‍ले	धोबीण	
सोंगा	चिलम	
सोंगा आकी	चिलम बनाने का पत्ता	
सोंगा आकी	चिलम बनाने का पत्ता	
सोंगा उन्‍मड़	चिलम पीना	
सोंगा(गंजय उनानद)	चिलम	గంజాయి త్రాగె గొట్టము
सोप्‍पा	कळबा	చొప్ప
सोप्‍पा बेंड	मच्‍छली का प्रकार	
सोर्रेते/पुत्तीते होडियमड़	गुफे मे प्रवेश करना	
सोर्रेने	गुफे में	
सोल्‍लू	थुका	సొల్లు
स्‍टील	स्‍टील	
स्‍टेनलेस	स्‍टेनलेस	
स्रिमंत	धनवान	శ్రీ మంతుడు
हक्‍केरे	सुबह	ప్రొద్దున
