Gondi Word	Hindi Meaning	Telugu Meaning
कराब आयमड़	बिघड जाना	
कराब कियमड़	बिगाड़ना	
कराब मेंजू	सडे अंडे	చెడి పొయిన గుడ్డు
कराबतद	गंदा	చెడి పొయినది
करियुडु	पढ़ना	నేర్చుకోవడము
करहमड़	पढ़ाना/सिखाना	
करुव	भूख	ఆకలి
करवेस्मड़	भूक लग़ना	
कर्गगोट्मड़	पिघलाना	కరగించడము
कर्गुतव	पिघला हुआ वस्‍तु	కరగినవి
कर्ज	कर्ज	అప్పు
कर्रे कोंगा	काला बगुला	నల్లా కొంగ
कर्रे कोर्रु पोरी	काला मुर्गा	నల్లా కొడి పిల్ల
कर्रे डोक्‍के	काला गिरगीट	నల్ల డొక్కె
कर्रे तोडी	काली मिट्टी	నల్ల మట్టి
कर्रे पिट्टे	पक्षी	నల్లపిట్ట
कर्रे पूसा	काला मनी	నల్ల పూసా
कर्रे पेत्ते	काली चींटी	నల్లచీమ
कर्रे पोर्सु जिम्मा/मीन	काला चिल्टे की मच्‍छली	నల్ల చేప
कर्रे पोर्सु जिम्मां/मीन्‍कु		నల్ల చేపలు
कर्रे पोर्सु जिम्मां/मीन्‍कु		నల్ల చేపలు
कर्रे मग्‍गुर	काला मगर	
कर्रे मिच्‍चो	बिच्‍छु	నల్లని పెద్ద తేలు
कर्रे रंगु	काला	నలుపు
कर्रेगा	काला	నలుపుగ
कर्रेगा	काला	నలుపుగ
कर्सु	खर्चा	కర్చులు
कलति हिलवदु	शूध्‍द	స్వెచ్ఛమైనది
कला	स्वपना	కల
कलियुडु	मिलना/मिलन होना	కలవడము
कल्‍पुडु	मिलाना	కల్పడము
